sex,age,mother_job,father_job,reason,guardian,studytime,failures,schoolsup,famsup,paid,activities,internet,freetime,goout,health,absences,G1,G2,G3,FinalResult
F,15,at_home,other,reputation,mother,1,0,yes,yes,no,yes,no,3,1,2,8,14,13,12,Fair
F,16,other,other,home,mother,2,0,no,yes,no,yes,yes,3,3,3,16,11,11,10,Fair
M,15,teacher,other,home,other,1,0,no,yes,no,no,yes,4,3,5,8,10,11,11,Fair
M,15,services,teacher,course,father,2,0,no,yes,no,yes,yes,3,3,5,0,14,15,15,Fair
M,15,services,services,course,father,1,0,yes,yes,no,no,yes,4,1,1,0,9,10,10,Poor
F,16,other,at_home,course,father,2,1,yes,no,no,yes,yes,3,3,5,14,10,11,11,Fair
F,15,other,other,course,mother,2,0,yes,yes,yes,yes,yes,2,2,5,4,10,11,11,Fair
F,16,other,services,home,mother,2,0,no,yes,no,no,yes,3,5,3,6,13,12,13,Fair
M,16,health,services,reputation,mother,4,0,no,no,no,yes,yes,2,2,2,2,17,17,17,Good
M,15,teacher,other,home,mother,2,0,no,yes,no,no,no,3,3,5,4,11,12,13,Fair
F,15,services,teacher,other,father,2,0,yes,yes,no,yes,yes,4,4,3,2,13,12,12,Fair
F,16,services,services,course,mother,2,0,no,yes,no,no,yes,3,3,4,0,14,13,13,Fair
F,15,health,other,other,mother,2,0,no,yes,no,no,yes,3,3,5,0,16,14,16,Good
M,15,health,health,other,father,1,0,no,no,no,no,no,5,5,5,4,10,9,9,Poor
F,15,services,services,course,mother,1,0,yes,yes,no,no,yes,3,4,5,0,13,12,12,Fair
F,15,other,other,other,mother,1,0,no,no,no,no,yes,3,4,1,0,13,12,13,Fair
F,16,other,other,other,mother,2,0,no,no,no,yes,yes,3,4,2,2,12,13,12,Fair
F,15,services,services,reputation,mother,2,0,no,yes,no,yes,yes,3,2,1,0,15,14,15,Fair
M,15,teacher,health,reputation,mother,2,0,no,yes,no,yes,no,2,2,5,8,15,15,16,Good
M,15,other,at_home,home,father,2,0,yes,yes,no,yes,yes,3,2,5,0,14,13,14,Fair
F,16,services,other,course,mother,2,0,no,yes,yes,no,yes,2,3,5,2,16,15,16,Good
F,16,health,teacher,other,mother,2,0,no,yes,no,yes,no,4,4,4,0,17,16,16,Good
F,16,services,services,course,father,1,0,yes,yes,no,yes,yes,5,5,5,0,10,10,16,Fair
F,16,other,services,reputation,father,2,0,yes,no,no,yes,yes,4,3,1,0,13,13,10,Fair
F,16,teacher,health,home,mother,3,0,yes,yes,no,yes,yes,4,4,4,0,14,13,13,Fair
F,15,services,services,reputation,father,2,0,yes,no,no,yes,yes,4,4,2,0,13,12,12,Fair
F,16,teacher,services,course,mother,2,0,no,yes,no,yes,yes,4,3,1,2,16,15,16,Good
M,15,other,services,reputation,mother,4,0,no,yes,no,yes,yes,3,3,3,0,11,12,12,Fair
F,16,services,other,course,mother,4,0,yes,yes,no,no,yes,3,3,5,0,10,9,10,Poor
F,15,health,services,reputation,mother,2,0,yes,yes,no,no,yes,1,3,4,0,11,10,11,Fair
F,15,other,other,reputation,father,4,0,no,yes,no,no,yes,4,2,3,6,15,15,15,Good
M,16,other,other,reputation,father,4,0,no,yes,no,no,yes,3,2,5,2,13,11,11,Fair
M,15,other,other,course,mother,4,0,no,no,no,no,yes,3,3,3,0,11,9,10,Fair
F,15,other,other,reputation,mother,2,0,yes,yes,no,no,yes,3,4,5,2,13,11,11,Fair
M,16,other,other,reputation,mother,1,0,no,no,no,yes,no,3,2,5,0,13,13,14,Fair
F,16,other,services,home,mother,2,0,yes,yes,no,yes,yes,3,3,5,4,11,11,11,Fair
M,15,teacher,other,home,mother,2,0,no,yes,no,yes,yes,3,3,5,0,11,11,11,Fair
M,15,teacher,other,course,mother,4,0,no,no,no,yes,yes,4,3,1,0,12,11,11,Fair
F,16,other,other,reputation,mother,4,0,no,no,no,no,yes,2,3,3,1,13,13,13,Fair
M,17,other,other,home,mother,1,3,yes,yes,no,yes,yes,5,1,3,0,9,9,10,Poor
F,16,at_home,other,course,mother,2,0,no,yes,no,no,yes,4,3,3,14,12,11,11,Fair
M,15,other,services,course,father,1,0,yes,yes,no,yes,yes,2,2,3,0,11,11,12,Fair
M,15,other,other,home,mother,3,0,yes,no,no,no,yes,3,2,5,2,10,9,9,Poor
F,15,services,other,reputation,mother,2,0,no,yes,no,no,yes,4,4,5,4,12,11,11,Fair
M,15,services,services,home,mother,2,0,no,no,yes,yes,yes,3,3,4,2,13,12,13,Fair
F,15,other,other,home,father,2,0,no,yes,no,yes,yes,3,2,4,2,13,12,12,Fair
F,15,services,services,reputation,father,2,0,no,no,no,no,yes,4,4,5,4,12,11,12,Fair
F,16,at_home,other,course,mother,2,0,no,yes,no,no,no,3,4,2,6,13,11,11,Fair
F,15,other,other,reputation,mother,3,0,no,yes,no,yes,yes,3,3,1,4,15,15,15,Good
M,16,services,other,reputation,father,2,0,no,no,no,yes,yes,4,2,3,6,12,10,11,Fair
M,16,teacher,health,reputation,mother,2,0,no,yes,no,no,no,1,3,5,6,9,9,10,Poor
F,16,other,other,home,mother,3,0,no,yes,no,no,yes,3,3,4,2,9,11,11,Fair
F,15,services,other,reputation,mother,1,0,no,no,no,yes,yes,5,5,1,6,14,13,13,Fair
F,16,other,other,home,father,2,0,yes,yes,no,no,no,3,3,2,0,12,13,12,Fair
F,16,teacher,services,home,mother,2,0,no,yes,no,yes,yes,3,3,1,2,13,14,14,Fair
M,15,services,health,reputation,mother,4,0,no,yes,no,yes,yes,3,4,4,2,11,12,12,Fair
F,15,at_home,other,home,mother,4,0,yes,yes,yes,yes,yes,1,2,1,4,13,13,13,Fair
M,16,services,other,reputation,mother,1,0,yes,yes,yes,yes,yes,3,3,4,6,9,11,11,Fair
F,16,other,other,course,mother,2,0,no,yes,no,no,no,3,5,5,0,13,12,12,Fair
F,16,other,other,reputation,mother,1,0,no,no,no,yes,yes,3,4,1,4,12,13,13,Fair
F,16,other,at_home,course,mother,3,0,yes,yes,no,no,yes,3,5,3,2,12,13,13,Fair
M,16,services,services,other,mother,1,0,yes,yes,no,yes,yes,5,5,4,12,9,9,8,Poor
M,16,services,teacher,other,father,3,0,no,yes,no,yes,yes,4,3,4,0,16,16,16,Good
M,15,services,other,course,mother,1,0,no,yes,yes,yes,yes,3,3,5,2,12,13,12,Fair
F,15,services,other,home,mother,2,0,yes,yes,no,no,yes,3,5,2,16,11,10,10,Fair
M,15,services,other,course,mother,2,0,no,yes,no,yes,yes,4,4,1,0,16,16,16,Good
F,15,other,health,reputation,father,4,0,yes,no,no,no,no,3,3,4,10,10,10,10,Fair
F,15,other,other,course,mother,4,0,yes,yes,no,no,yes,1,2,3,4,10,10,10,Fair
M,16,services,other,home,father,3,0,no,yes,no,yes,yes,3,3,5,4,13,14,14,Fair
M,15,other,other,home,father,4,0,no,yes,no,yes,yes,3,5,1,8,12,10,11,Fair
F,16,health,health,other,mother,3,0,no,yes,no,yes,yes,4,5,4,2,15,15,14,Fair
M,15,teacher,teacher,course,mother,1,0,no,no,no,yes,yes,5,3,4,4,13,14,14,Fair
F,16,services,other,reputation,father,3,0,yes,yes,no,yes,yes,1,2,2,4,11,11,11,Fair
F,16,at_home,other,home,mother,2,1,yes,no,no,yes,yes,1,2,5,12,8,10,10,Poor
M,15,teacher,other,course,mother,1,0,no,no,no,no,yes,5,2,3,10,18,17,18,Good
M,15,health,services,reputation,mother,2,0,no,no,no,yes,yes,4,2,5,4,10,9,10,Poor
M,16,teacher,teacher,course,father,2,0,no,yes,no,yes,yes,4,4,5,6,16,14,14,Fair
M,15,other,teacher,reputation,father,2,0,no,yes,no,yes,no,4,3,2,4,16,15,16,Good
M,16,other,services,home,father,1,0,no,no,no,yes,yes,4,2,5,6,14,14,15,Fair
M,17,other,other,course,father,2,1,no,yes,no,yes,yes,2,4,5,14,12,11,11,Fair
M,15,other,other,reputation,father,1,0,no,no,no,no,yes,4,3,4,2,14,13,14,Fair
F,15,at_home,services,course,mother,2,0,no,no,no,no,yes,2,3,1,0,14,14,14,Fair
M,15,services,services,home,father,4,0,no,yes,no,yes,yes,5,4,5,6,14,13,13,Fair
F,16,other,health,course,father,2,0,no,yes,no,yes,yes,2,2,5,2,14,12,13,Fair
M,16,health,other,course,mother,1,0,no,yes,no,yes,yes,4,4,5,4,12,13,13,Fair
F,16,other,other,home,mother,2,0,no,no,no,no,yes,4,4,5,0,12,11,11,Fair
M,15,services,services,home,father,1,0,yes,no,no,no,yes,5,5,5,2,9,9,9,Poor
F,15,other,other,home,mother,2,0,yes,no,no,yes,yes,3,2,1,0,10,11,11,Fair
F,19,at_home,other,course,other,2,2,no,yes,no,no,no,4,2,5,0,9,10,11,Fair
M,16,teacher,teacher,course,mother,1,0,no,no,no,yes,yes,5,5,4,8,14,14,15,Fair
M,16,other,other,course,mother,3,0,no,yes,no,no,yes,2,3,1,4,13,12,13,Fair
F,15,services,teacher,course,father,3,0,no,yes,no,no,yes,2,2,5,0,10,11,12,Fair
F,18,services,other,reputation,mother,2,3,no,yes,no,yes,yes,4,5,5,10,10,9,8,Poor
F,17,other,other,course,mother,1,0,no,yes,no,no,yes,2,2,5,8,11,10,11,Fair
F,15,at_home,other,course,mother,1,0,no,yes,no,yes,yes,3,3,4,6,11,12,13,Fair
F,17,other,other,course,father,1,0,no,yes,no,no,yes,4,4,5,2,13,12,12,Fair
F,16,services,other,course,father,1,0,no,no,no,no,yes,2,1,5,12,15,13,14,Fair
M,16,at_home,other,course,mother,1,0,no,no,no,no,no,2,1,2,4,9,9,11,Poor
F,16,other,other,home,mother,1,1,no,no,no,no,no,3,4,5,12,13,11,11,Fair
M,15,at_home,teacher,course,mother,2,0,no,yes,no,no,no,3,3,5,2,12,11,11,Fair
F,15,services,at_home,course,mother,3,0,no,yes,no,yes,yes,3,3,5,4,13,14,15,Fair
M,17,at_home,other,course,mother,2,0,no,no,no,no,no,4,5,5,2,10,9,10,Poor
F,16,at_home,other,course,mother,2,0,no,yes,no,no,no,1,3,3,0,14,13,13,Fair
M,18,services,services,course,mother,1,0,no,no,no,yes,yes,3,4,4,2,11,11,12,Fair
F,18,other,services,course,other,3,0,no,yes,no,yes,yes,3,3,5,10,12,11,11,Fair
F,16,other,services,reputation,mother,1,0,no,yes,no,yes,no,3,3,1,8,12,11,11,Fair
F,16,other,other,course,other,1,0,no,yes,no,yes,yes,3,2,5,4,9,9,10,Poor
M,16,services,other,course,mother,2,2,no,no,no,no,no,4,4,5,0,10,10,10,Fair
F,15,teacher,teacher,course,mother,1,0,no,no,no,yes,yes,3,2,5,6,13,14,14,Fair
F,15,other,other,course,mother,1,1,no,no,no,yes,yes,5,5,1,2,8,9,9,Poor
M,15,teacher,services,course,father,4,0,yes,yes,no,no,yes,2,2,3,6,9,11,11,Fair
F,15,services,services,home,mother,2,0,no,no,no,no,no,3,2,1,24,9,8,9,Poor
M,16,services,services,course,mother,3,0,no,yes,no,yes,yes,3,3,5,0,15,13,13,Fair
M,16,services,services,reputation,father,1,0,no,yes,no,yes,yes,3,3,2,4,12,11,11,Fair
F,15,teacher,services,course,mother,3,0,no,yes,no,yes,yes,2,2,5,2,13,13,13,Fair
F,16,at_home,at_home,course,mother,1,0,no,no,no,no,yes,4,4,1,4,10,11,11,Fair
M,17,other,other,home,mother,1,0,no,yes,no,no,yes,4,5,5,22,9,7,6,Poor
F,15,other,services,course,father,2,0,no,yes,no,no,yes,4,2,5,0,12,12,12,Fair
F,15,at_home,other,home,mother,1,0,no,yes,no,yes,yes,4,2,5,0,11,10,10,Fair
F,15,health,services,home,father,2,1,no,yes,no,no,yes,3,2,3,2,11,11,11,Fair
F,15,at_home,other,course,mother,2,0,no,yes,no,no,yes,3,2,5,6,13,12,13,Fair
F,15,at_home,services,course,father,2,0,no,no,no,no,no,3,4,1,6,11,11,11,Fair
M,16,teacher,teacher,course,mother,1,0,no,yes,no,no,yes,3,2,5,16,9,9,8,Poor
M,15,services,other,course,mother,1,0,no,no,no,no,yes,5,5,5,0,12,11,11,Fair
M,18,other,other,course,mother,1,2,no,no,no,no,yes,3,5,4,0,11,9,0,Poor
M,16,at_home,other,course,mother,1,1,no,no,no,yes,no,4,4,5,6,9,10,10,Poor
F,15,services,services,reputation,other,3,0,no,yes,yes,yes,yes,2,1,3,2,13,13,13,Fair
M,19,services,at_home,home,mother,1,0,no,yes,no,no,yes,5,4,4,6,11,9,11,Fair
F,17,other,teacher,course,mother,1,0,yes,yes,no,no,no,2,1,4,0,13,13,13,Fair
M,15,at_home,services,course,mother,2,0,yes,no,yes,yes,no,4,4,1,0,7,8,8,Poor
M,17,other,other,reputation,mother,1,3,no,no,no,no,no,2,2,5,14,9,8,10,Poor
F,18,at_home,other,course,mother,1,3,no,yes,no,yes,no,2,5,4,6,11,10,11,Fair
M,16,at_home,other,course,mother,1,0,no,no,no,no,no,2,2,3,4,12,10,11,Fair
M,16,other,services,course,father,2,1,no,yes,no,no,yes,5,5,5,0,10,10,1,Poor
M,16,health,services,course,mother,1,2,no,no,no,no,yes,4,5,5,0,9,8,10,Poor
M,17,at_home,other,course,mother,1,1,no,no,yes,yes,yes,3,2,5,8,8,8,9,Poor
M,17,other,other,course,mother,2,2,yes,yes,no,no,yes,4,4,3,4,7,6,8,Poor
M,15,other,other,course,mother,1,0,no,no,no,yes,no,4,4,5,2,8,9,10,Poor
M,16,at_home,services,course,father,1,1,no,no,no,no,yes,3,3,2,2,9,8,8,Poor
M,17,other,services,course,mother,2,0,no,no,no,yes,no,3,5,5,0,8,8,8,Poor
M,17,services,services,course,mother,1,3,no,yes,no,yes,no,5,2,2,10,8,7,8,Poor
M,16,other,other,course,father,2,0,no,no,no,no,yes,3,5,4,0,9,10,11,Fair
F,16,health,services,home,father,2,0,no,no,no,no,yes,2,3,3,0,17,17,18,Good
F,16,other,other,home,mother,2,0,no,yes,no,no,yes,1,5,4,0,12,12,13,Fair
F,16,health,health,reputation,mother,2,0,no,yes,no,no,yes,4,2,3,0,16,16,17,Good
M,16,other,other,course,father,1,1,no,yes,no,yes,yes,4,5,2,4,9,9,10,Poor
M,16,other,other,reputation,mother,2,0,no,yes,no,yes,yes,3,2,3,0,16,17,18,Good
M,17,teacher,other,reputation,mother,2,0,no,yes,no,yes,yes,4,4,5,0,11,9,10,Fair
F,16,at_home,services,home,mother,2,0,no,no,no,yes,yes,3,5,3,0,14,13,13,Fair
F,16,other,other,reputation,mother,2,0,no,yes,no,yes,yes,4,5,4,0,14,14,15,Fair
M,17,teacher,other,course,mother,2,0,no,no,no,yes,yes,4,4,4,0,10,11,11,Fair
F,16,services,other,reputation,mother,2,0,no,no,no,yes,yes,4,4,5,0,13,12,14,Fair
M,17,other,other,reputation,father,2,0,no,no,no,yes,yes,3,4,4,4,11,9,10,Fair
M,16,teacher,services,other,mother,1,0,no,yes,no,yes,yes,3,3,3,8,10,9,11,Fair
M,17,other,other,course,mother,2,0,no,yes,yes,yes,yes,2,3,2,4,11,11,13,Fair
M,16,teacher,other,home,mother,2,0,no,yes,yes,yes,yes,4,3,3,4,11,10,11,Fair
M,16,services,other,home,mother,2,0,no,no,no,yes,yes,2,3,3,0,11,12,13,Fair
F,17,services,services,reputation,father,2,0,no,yes,no,yes,no,4,2,5,0,17,18,17,Good
F,17,other,other,reputation,mother,2,0,no,yes,no,yes,yes,3,3,1,32,14,13,14,Fair
F,16,other,other,reputation,mother,2,0,no,yes,no,no,yes,2,2,1,8,14,15,16,Good
M,17,services,services,other,mother,2,0,no,yes,no,yes,yes,3,4,4,6,11,13,14,Fair
M,16,services,services,other,mother,1,0,no,yes,no,yes,yes,3,3,3,0,10,9,11,Fair
M,16,other,other,course,mother,2,0,no,no,no,yes,yes,2,3,5,0,13,14,16,Fair
F,17,health,other,reputation,mother,2,0,no,yes,no,no,yes,3,3,3,10,12,13,14,Fair
M,17,at_home,other,home,mother,2,0,no,no,no,no,no,1,3,3,6,9,9,10,Poor
F,16,services,services,course,mother,2,0,no,no,no,no,yes,3,3,2,6,12,12,13,Fair
F,17,at_home,services,course,mother,2,0,no,no,no,yes,yes,3,3,3,0,12,11,12,Fair
M,17,at_home,services,other,other,2,0,no,no,no,yes,yes,4,4,5,16,10,11,12,Fair
M,16,services,services,reputation,mother,1,0,no,yes,no,yes,yes,3,2,5,0,11,10,10,Fair
M,16,other,other,home,father,1,0,no,no,no,no,yes,3,3,3,0,13,12,12,Fair
F,17,services,services,course,father,2,0,no,no,no,yes,yes,3,2,5,8,14,15,16,Good
M,17,services,teacher,home,mother,1,0,no,no,no,no,yes,2,3,5,4,13,13,14,Fair
M,16,teacher,other,home,father,1,0,no,yes,no,yes,yes,3,4,3,16,10,11,12,Fair
F,17,services,teacher,home,mother,1,1,no,yes,no,no,yes,2,4,2,30,14,15,16,Good
F,16,teacher,teacher,reputation,mother,2,0,no,yes,no,no,yes,5,2,3,0,11,10,11,Fair
F,16,health,other,home,mother,2,0,no,yes,no,yes,yes,3,5,2,2,14,14,15,Fair
F,16,other,other,reputation,mother,2,0,yes,yes,no,yes,no,4,3,4,4,11,12,12,Fair
F,17,other,other,course,mother,2,0,no,yes,no,no,no,4,4,1,0,14,15,15,Fair
F,17,other,other,reputation,mother,1,0,no,yes,no,no,yes,3,2,3,21,13,13,13,Fair
F,16,services,services,reputation,mother,4,0,no,yes,no,yes,yes,3,5,5,6,13,13,13,Fair
F,17,at_home,services,home,mother,3,1,no,yes,yes,no,yes,4,3,5,14,8,9,8,Poor
F,16,services,other,course,mother,2,0,no,yes,no,no,yes,3,3,4,2,11,11,12,Fair
F,16,teacher,other,other,mother,2,0,no,no,no,yes,yes,3,2,1,4,14,15,15,Fair
F,16,at_home,other,home,mother,1,0,no,yes,no,no,no,3,2,5,2,12,13,13,Fair
F,17,teacher,other,reputation,mother,3,0,no,yes,no,yes,yes,4,2,4,0,11,12,12,Fair
F,19,other,other,reputation,other,4,0,no,yes,no,yes,yes,3,3,3,4,12,12,12,Fair
M,17,services,other,home,mother,2,0,no,yes,no,no,yes,3,5,3,15,13,12,12,Fair
F,16,other,other,reputation,mother,2,0,yes,yes,no,no,yes,3,4,4,0,13,13,13,Fair
M,18,services,other,home,mother,2,0,no,yes,no,yes,yes,4,4,5,10,12,11,11,Fair
F,17,services,other,other,mother,1,0,no,yes,no,no,no,2,1,3,6,12,11,11,Fair
F,17,other,other,reputation,mother,2,0,no,no,no,no,yes,4,4,1,2,14,16,15,Good
F,17,other,other,reputation,mother,2,0,no,no,no,no,yes,4,5,1,16,11,9,10,Fair
M,18,services,health,home,father,2,0,no,yes,no,no,yes,2,4,4,10,10,10,10,Fair
F,17,at_home,other,home,father,1,0,no,yes,no,no,no,3,3,3,4,12,13,13,Fair
F,17,at_home,at_home,course,mother,3,0,no,yes,no,yes,yes,3,3,4,0,12,12,13,Fair
F,17,at_home,services,reputation,mother,2,0,no,yes,no,yes,yes,2,5,5,0,11,10,11,Fair
F,17,at_home,other,reputation,mother,3,0,no,yes,no,yes,no,3,4,5,12,12,12,12,Fair
F,16,services,teacher,other,mother,2,0,yes,no,no,no,yes,3,1,3,0,13,13,14,Fair
M,18,other,other,home,mother,2,3,no,yes,yes,no,yes,3,3,4,9,10,9,10,Poor
F,16,teacher,services,home,mother,3,0,no,yes,no,yes,yes,3,2,5,4,15,16,16,Good
F,18,other,other,reputation,mother,2,0,no,no,no,yes,yes,3,3,4,4,8,8,8,Poor
F,17,other,other,course,mother,2,0,no,no,no,yes,yes,3,4,3,2,17,18,17,Good
M,17,services,services,reputation,father,2,0,no,yes,no,no,yes,3,3,3,0,10,11,11,Fair
M,18,at_home,other,course,mother,2,0,yes,yes,no,yes,yes,3,2,3,2,9,10,11,Fair
F,17,other,other,course,mother,3,0,no,no,no,yes,yes,2,3,3,0,15,15,16,Good
F,17,health,other,reputation,father,2,0,no,no,no,yes,yes,2,3,3,0,14,12,12,Fair
M,17,other,other,course,father,2,0,no,yes,no,yes,yes,5,2,1,0,12,13,13,Fair
M,17,teacher,teacher,reputation,mother,2,0,yes,yes,no,yes,yes,5,5,2,0,13,13,13,Fair
M,16,health,other,reputation,father,2,0,no,yes,no,yes,yes,2,4,1,0,13,13,14,Fair
M,16,other,other,home,mother,2,0,no,yes,no,no,yes,4,2,5,2,9,9,9,Poor
M,16,at_home,other,reputation,mother,3,0,no,no,no,yes,yes,3,3,2,0,12,12,12,Fair
M,17,other,other,home,father,2,0,no,no,no,yes,yes,4,2,4,0,16,16,16,Good
F,16,other,other,home,mother,1,0,no,no,no,no,yes,5,2,5,4,9,10,10,Poor
F,16,other,other,home,mother,2,0,no,no,no,yes,yes,3,3,5,0,14,13,13,Fair
F,18,services,other,course,mother,2,1,no,yes,no,no,yes,3,3,3,18,10,10,10,Fair
F,18,at_home,services,course,mother,2,1,no,yes,no,no,yes,3,1,5,16,9,8,10,Poor
F,18,other,other,course,mother,1,1,no,no,no,no,yes,1,1,3,14,8,7,7,Poor
M,18,other,at_home,course,other,1,1,no,yes,no,yes,yes,4,3,1,26,7,8,8,Poor
M,17,teacher,teacher,course,mother,1,0,no,yes,no,yes,yes,2,1,5,6,10,8,9,Poor
F,17,other,other,course,father,2,0,no,no,no,yes,no,4,2,3,4,14,14,15,Fair
F,17,at_home,at_home,course,mother,3,0,no,yes,no,yes,yes,3,2,4,10,11,10,10,Fair
F,16,other,other,course,mother,1,0,no,no,no,no,yes,3,5,5,4,12,11,11,Fair
F,17,at_home,services,course,mother,2,0,no,no,no,yes,no,1,1,3,2,13,13,13,Fair
F,17,other,other,course,other,1,1,no,yes,no,no,yes,5,4,5,14,9,9,8,Poor
M,18,other,services,reputation,father,2,0,no,no,no,no,yes,5,4,2,16,8,7,8,Poor
F,17,other,other,home,mother,1,1,no,yes,no,no,yes,1,2,1,8,11,9,10,Fair
F,17,at_home,other,course,mother,3,0,no,no,no,yes,yes,3,3,5,4,15,14,15,Fair
F,17,teacher,other,course,mother,2,0,no,yes,no,yes,no,3,2,4,4,15,14,14,Fair
M,17,health,other,course,mother,2,0,no,no,no,yes,yes,5,5,5,8,15,15,15,Good
M,17,teacher,other,course,mother,2,0,no,yes,no,no,yes,3,3,4,0,12,12,12,Fair
M,16,teacher,other,course,mother,1,0,no,no,no,yes,yes,4,5,3,7,14,14,15,Fair
M,16,services,services,course,mother,1,0,no,no,yes,yes,yes,3,2,5,4,14,15,15,Fair
F,17,teacher,services,course,mother,2,0,no,yes,yes,no,yes,3,1,5,2,11,11,12,Fair
M,17,other,other,home,father,3,0,no,no,no,no,yes,3,3,1,2,13,14,15,Fair
F,17,services,other,home,mother,3,0,no,yes,no,no,yes,2,2,5,10,11,11,11,Fair
F,17,at_home,other,course,mother,2,0,yes,no,no,no,no,3,2,4,10,10,9,10,Poor
F,18,other,other,course,other,3,0,no,yes,no,no,yes,4,4,3,10,12,10,11,Fair
M,16,other,other,course,mother,1,0,no,no,no,no,yes,3,3,4,7,15,16,16,Good
F,17,other,services,course,father,2,0,no,yes,no,no,no,3,4,5,4,11,10,11,Fair
M,17,other,other,course,father,1,0,no,no,no,no,yes,2,2,2,2,9,12,13,Fair
M,22,services,services,other,mother,1,3,no,no,no,no,yes,4,5,1,12,7,8,5,Poor
M,18,other,services,course,mother,2,0,no,yes,no,no,yes,3,3,5,8,10,9,10,Poor
M,16,other,other,other,mother,1,0,no,no,no,no,yes,3,2,5,0,11,12,11,Fair
M,18,services,other,course,mother,1,0,no,no,no,no,yes,4,5,5,8,7,8,7,Poor
M,16,at_home,other,reputation,other,2,1,yes,yes,no,no,yes,3,3,2,4,9,11,10,Fair
M,18,services,services,other,mother,1,2,no,no,no,no,yes,2,5,5,4,7,8,6,Poor
M,16,other,other,course,mother,1,0,no,no,no,yes,no,3,2,3,2,14,13,12,Fair
M,17,other,other,course,mother,1,0,no,no,no,no,yes,4,2,5,0,12,12,13,Fair
